Parent Category ID,Parent Category,Parent Alias,Child Category ID,Child Category,Child Alias
185,Болалар учун ўйинчоқ ва маҳсулотлар,tovary-dlya-detey,477,Болалар учун электр машина,detskie-elektromobili
185,Болалар учун ўйинчоқ ва маҳсулотлар,tovary-dlya-detey,860,Кичкинтойлар учун стул,stulchik-dlya-kormleniya
185,Болалар учун ўйинчоқ ва маҳсулотлар,tovary-dlya-detey,1196,Болалар велосипедлари,detskie-velosipedy
185,Болалар учун ўйинчоқ ва маҳсулотлар,tovary-dlya-detey,1199,Ходунок ва сакроғичлар,xodunki-i-prygunki
319,Кийим ва пойабзаллар,moda-i-aksessuary,320,Қўл соат,naruchnye-chasy
319,Кийим ва пойабзаллар,moda-i-aksessuary,325,Сумкалар,sumki
319,Кийим ва пойабзаллар,moda-i-aksessuary,352,Эркаклар пойабзаллари,obuv
319,Кийим ва пойабзаллар,moda-i-aksessuary,434,Мода ва аксессуарлар,podarochnye-nabory-1
319,Кийим ва пойабзаллар,moda-i-aksessuary,664,Эркаклар кийимлари,muzhskaya-odezhda
319,Кийим ва пойабзаллар,moda-i-aksessuary,666,Аёллар кийимлари,zhenskaya-odezhda
319,Кийим ва пойабзаллар,moda-i-aksessuary,667,Чақалоқ кийимлари,detskaya-odezhda
319,Кийим ва пойабзаллар,moda-i-aksessuary,903,Аёллар пойабзаллари,zhenskaya-obuv
319,Кийим ва пойабзаллар,moda-i-aksessuary,928,Заргарлик ва бижутерия,yuvelirnye-izdeliya-i-bizhuteriya
319,Кийим ва пойабзаллар,moda-i-aksessuary,996,Қизлар учун пойабзал,obuv-dlya-devochek
319,Кийим ва пойабзаллар,moda-i-aksessuary,1003,Ўғил болалар учун пойабзал,obuv-dlya-malchikov
319,Кийим ва пойабзаллар,moda-i-aksessuary,1010,Махсус кийимлар,specodezda
319,Кийим ва пойабзаллар,moda-i-aksessuary,1012,Аниме кийимлар,odezda-anime
319,Кийим ва пойабзаллар,moda-i-aksessuary,1106,Ўғил болалар учун кийимлар,odezda-dlya-malcikov
319,Кийим ва пойабзаллар,moda-i-aksessuary,1107,Қизлар учун кийимлар,odezda-dlya-devocek
333,Китоблар,knigi,334,Диний адабиёт,religioznaya-literatura
333,Китоблар,knigi,335,Жаҳон адабиёти,mirovaya-literatura
333,Китоблар,knigi,336,Китоб аксессуарлари,aksessuary-dlya-knig
333,Китоблар,knigi,522,Бестселлер,top-100-bestseller
333,Китоблар,knigi,523,Бадиий адабиётлар,khudozhestvennaya-literatura
333,Китоблар,knigi,524,Ҳужжатли китоблар,dokumentalnye-knigi
333,Китоблар,knigi,525,Бизнес-китоблар,biznes-knigi
333,Китоблар,knigi,526,Луғат ва сўзлашгичлар,slovari-i-razgovorniki
333,Китоблар,knigi,527,"Хорижий, рус адабиёти",zarubezhnaya-russkaya-literatura
333,Китоблар,knigi,528,Абитуриентлар учун адабиётлар,dlya-abiturientov
333,Китоблар,knigi,529,Санъат ва маданият,iskusstvo-i-kultura
333,Китоблар,knigi,530,Фантастика,fantastika
333,Китоблар,knigi,531,ИТ- компьютер ва интернет,it-kompyuter-i-internet
333,Китоблар,knigi,532,"Соғлиқ, гўзаллик, психология",zdorove-krasota-psikhologiya
333,Китоблар,knigi,533,Дарсликлар ,uchebnye-knigi
333,Китоблар,knigi,534,"Саёҳат, автомобиллар, спорт",puteshestviya-avtomobili-sport
333,Китоблар,knigi,535,Болалар ва ота-оналар учун,dlya-detey-i-roditeley
333,Китоблар,knigi,536,"Уй, ҳунармандчилик, дам олиш, севимли машғулотлар",dom-remesla-dosug-khobbi
333,Китоблар,knigi,538,Илмий китоблар,nauchnye-knigi
333,Китоблар,knigi,539,Юридик адабиётлар,yuridicheskie-knigi
333,Китоблар,knigi,552,Тарихий китоблар,istoricheskie-knigi
333,Китоблар,knigi,694,Полиция детектив,politseyskie-detektivy
333,Китоблар,knigi,955,Комикслар,komiksy
333,Китоблар,knigi,956,Бадиий бўлмаган адабиётлар,nekhudozhestvennaya-literatura
643,Мебель,mebel-1,644,Офис креслолари,kresla-1
643,Мебель,mebel-1,706,Боғ мебеллари,sadovaya-mebel
643,Мебель,mebel-1,719,Ошхона мебеллари ва HoReCA учун мебеллар,kukhonnaya-mebel-i-mebel-dlya-horeca
643,Мебель,mebel-1,728,Юмшоқ мебель,myagkaya-mebel
643,Мебель,mebel-1,736,Корпусли мебеллар,korpusnaya-mebel
643,Мебель,mebel-1,768,Уйқу ҳудуди,territoriya-sna
643,Мебель,mebel-1,834,Мебел учун қопламалар,chekhly-dlya-mebeley
411,Геймерлар учун,dlya-geymerov,412,Геймерлар учун гарнитуралар,garnitury-2
411,Геймерлар учун,dlya-geymerov,413,Геймерлар учун клавиатуралар,klaviatury-1
411,Геймерлар учун,dlya-geymerov,414,Геймерлар учун сичқонча,myshi-1
411,Геймерлар учун,dlya-geymerov,415,Ўйин учун курсилар,igrovye-kresla-1
411,Геймерлар учун,dlya-geymerov,416,Ўйин учун гиламчалар,igrovye-kovriki
411,Геймерлар учун,dlya-geymerov,463,Геймерлар учун монитор,monitor
411,Геймерлар учун,dlya-geymerov,466,Ўйин акустикаси,igrovaya-akustika
411,Геймерлар учун,dlya-geymerov,467,Геймерлар учун столлар,stoly-dlya-geymerov
411,Геймерлар учун,dlya-geymerov,506,Геймерлар учун оптика,optika-dlya-geymera
411,Геймерлар учун,dlya-geymerov,541,Геймерлар учун аксессуарлар ва гаджетлар,prochie-aksessuary-i-gadzhety-dlya-geymerov
479,Барчаси таъмирлаш ва қурилиш учун,vse-dlya-remonta-i-stroitelstva,480,Кафел ва плиткалар,kafeli-i-plitki
479,Барчаси таъмирлаш ва қурилиш учун,vse-dlya-remonta-i-stroitelstva,481,Асбоб- анжомлар қутиси,sumka-dlya-instrumenta-1
479,Барчаси таъмирлаш ва қурилиш учун,vse-dlya-remonta-i-stroitelstva,482,Душ лейкаси ва кранлар,smesiteli-1
